 20.36 -1.67 18 34 20.9 -11 56 37  116   6 -317  9 -318  8
 20.84 -1.66 18 35 06.2 -11 30 32   45   3   92 11   91 11
 21.08 -1.60 18 35 19.6 -11 15 59  299   9  -66 12  -65 13  -23.4 17.6
 21.22 -2.26 18 37 59.8 -11 26 27  151  16  -83  4  -82  4  -75.7  6.0
 22.32 +1.73 18 25 42.7 -08 37 23  353  10   40 13   40 14   56.3 11.9
 23.20 +2.21 18 25 37.6 -07 37 29  307   9  -62 13  -61 13  -81.1 13.7
 25.04 -2.65 18 46 30.0 -08 13 33  144   8  491  8  492  8
 28.27 -2.24 18 50 54.2 -05 09 42  214   8  577 10  575 11
 34.30 +2.44 18 45 13.6 +02 19 54   36   4   25  7   27  7
 35.57 +1.40 18 51 14.5 +02 59 39  501   9  175 19  175 21   34.6 14.1
 36.18 +1.44 18 52 13.4 +03 32 55  222  12  188  7  188  7 -458.4  8.7
 36.20 -0.35 18 58 37.8 +02 45 18   95   4  132 11  133 11
 40.01 +1.02 19 00 43.4 +06 45 46  151  12  380  5  380  6 -252.3 13.4
 40.10 -3.61 19 17 25.5 +04 42 36  192   6  107 14  105 13
 40.52 +1.71 18 59 12.3 +07 32 14  140   4  625 14  625 14
 41.75 -3.27 19 19 17.3 +06 19 42  262   3   53 32   55 34
 42.88 -3.59 19 22 33.9 +07 10 48  122   2   78 20   75 22
 42.89 +0.57 19 07 41.9 +09 07 17  662  22  703 12  703 12
 43.49 -2.30 19 19 06.3 +08 19 20   82   7  229  6  230  6  191.5 15.7
 43.58 +3.74 18 57 31.2 +11 10 53  103  14  525  4  524  4
 43.84 -1.44 19 16 41.2 +09 01 47   35   5  505  6  504  7
 44.06 +3.33 18 59 52.5 +11 25 14  112   7  655  7  655  8
 44.51 +2.60 19 03 23.2 +11 29 05  270  45  831  3  831  3  141.3  7.4
 46.09 +1.59 19 10 00.4 +12 25 24  197   7  783 11  783 11
 46.14 -3.76 19 29 22.8 +09 59 01  711  50   24  6   24  6  686.6  7.0
 46.31 -0.38 19 17 33.9 +11 42 15  122   7 -117  8 -117  8  529.2 11.6
 46.35 +3.09 19 05 01.7 +13 20 47  228   9  575 10  577 10
 47.50 +2.17 19 10 31.9 +13 58 10  162   7  596  9  597  9
 47.91 -1.78 19 25 40.8 +12 27 38  214   7   63 12   63 13
 48.12 -3.98 19 34 00.2 +11 35 50   61   2 -426 17 -426 18
 48.31 -1.37 19 24 58.7 +13 00 33  151   8  435  8  436  8
 48.39 +3.62 19 06 55.4 +15 23 42  131  16  629  4  629  4  -37.5 10.1
 49.18 +1.36 19 16 44.2 +15 03 49  425  16  541 10  542 11 -145.5  8.8
 49.21 -0.97 19 25 17.3 +13 59 19  784  43  470  7  470  7  442.5  3.6
 49.72 -3.56 19 35 38.0 +13 11 44   29   2  -34 12  -34 13
 49.75 +3.75 19 09 01.0 +16 39 44  489  19  451 10  451 10 -235.4  7.9
 49.77 +2.86 19 12 19.9 +16 16 28  464  23  751  8  751  8   41.7  8.2
 50.04 +2.06 19 15 49.7 +16 08 34  128   7  482  7  482  8
 50.28 +2.61 19 14 14.5 +16 36 40  276  13  556  8  556  9 -123.7 15.9
 50.82 +1.19 19 20 32.3 +16 25 57   76   7  543  6  542  6
 50.94 +0.84 19 22 03.8 +16 22 43  246  11  466  9  466  9 -228.1 10.7
 50.95 -2.18 19 33 06.4 +14 56 24  414  10  186 15  187 16  137.0 11.8
 51.22 -1.42 19 30 52.8 +15 32 35  709  12  196 22  196 23
 52.04 -2.67 19 37 04.8 +15 39 19  256  13    1  8    1  8  -37.9 11.1
 53.54 +3.13 19 18 39.3 +19 44 04  753 127  228  3  228  3  215.7  0.9
 53.70 +3.30 19 18 20.7 +19 57 52  140  13  161  5  161  5  160.5 10.6
 53.96 +3.13 19 19 29.9 +20 06 29  258  10  114 10  114 10  129.9 13.0
 54.95 +2.30 19 24 36.9 +20 35 21  583  37  234  6  234  6  207.5  2.3
 55.34 +3.95 19 19 08.6 +21 42 58   63  12  212  3  212  3  203.1  8.1
 55.40 -2.58 19 43 41.5 +18 37 20  137   7  -76  8  -77  8 -120.5 17.0
 55.56 +2.26 19 25 59.5 +21 06 26 1650  42  206 15  206 15  217.4  2.9
 55.64 +0.32 19 33 25.4 +20 14 59   78   5  152  8  152  9
 56.08 +0.10 19 35 10.4 +20 31 54  293   9   67 12   67 13
 56.18 -0.57 19 37 54.5 +20 17 30  114   3   96 15   97 16
 56.59 -2.39 19 45 29.9 +19 44 37  161   9 -227  8 -228  8 -200.7 14.3
 56.60 -1.11 19 40 46.6 +20 23 51   97   2 -170 26 -171 27
 56.62 +0.17 19 36 02.4 +21 01 47  143   3  117 18  115 19
 56.85 +0.97 19 33 31.4 +21 37 38  134   9   -4  6   -4  7
 57.58 +1.93 19 31 24.9 +22 43 32  568  19   53 11   53 12   28.4  5.4
 57.83 -2.36 19 48 00.7 +20 50 26  427  35 -174  5 -174  5 -206.9  2.7
 58.29 -2.59 19 49 51.7 +21 06 56  172   6 -152 12 -152 13
 58.38 +2.26 19 31 49.2 +23 35 02   42   3   41 10   42 10
 58.48 +2.62 19 30 37.9 +23 50 45  290   9  112 12  112 12   74.2  8.6
 58.77 -0.73 19 43 57.6 +22 27 42  133   4  -17 12  -15 13
 58.78 -2.40 19 50 14.6 +21 38 00  127  16 -210  4 -210  4 -190.1  5.9
 58.97 +0.20 19 40 50.3 +23 06 05  265  12   73  8   73  9   36.9  6.1
 59.03 +1.85 19 34 44.4 +23 57 50   84   3 -105 14 -110 15
 59.17 +2.82 19 31 18.6 +24 33 02   45   2   89 12   90 13
 59.37 +3.21 19 30 15.4 +24 54 29  131   9    2  7    1  7  -24.0 10.3
 59.47 +3.57 19 29 02.2 +25 10 35   40   2  -44 14  -46 15
 59.48 +3.42 19 29 39.8 +25 06 26  174   9  -83  8  -83  8  -91.6 12.2
 59.48 +1.95 19 35 20.3 +24 24 15   17   3  -79  9  -80  9
 59.60 -0.07 19 43 18.3 +23 30 32  171   9 -387  8 -387  8  272.2  8.6
 59.87 -1.35 19 48 41.0 +23 06 08  200   5  -85 15  -84 16
 60.09 +3.45 19 30 49.3 +25 39 12  170   9  -67  7  -67  8  -73.5 11.5
 60.29 +1.89 19 37 19.0 +25 04 31   70   8 -102  5 -103  5 -103.5 12.3
 60.44 +1.06 19 40 48.5 +24 47 48  113   5  -54 10  -53 10  -19.3 13.2
 60.78 -0.64 19 48 02.0 +24 14 42  337  13 -184 10 -184 11 -189.1  6.9
 60.81 +1.59 19 39 34.2 +25 23 20  156   8   24  8   24  9    9.2 11.9
 61.07 -2.08 19 54 05.8 +23 45 41  110   9 -154  6 -155  6 -165.6 11.0
 61.16 +3.92 19 31 14.7 +26 49 06  172  10  214  7  214  8  215.2  8.8
 61.95 +2.39 19 38 58.3 +26 46 12  892  16   58 21   58 21   42.4  4.1
 61.98 -2.33 19 57 05.5 +24 24 36  377   9 -179 15 -180 16  -20.2  7.7
 62.36 -0.96 19 52 48.7 +25 26 58 1093  40  -96 11  -96 11 -106.3  2.9
 62.36 -1.77 19 55 52.2 +25 01 47  494  36  -53  5  -53  6  -65.5  2.9
 62.48 +1.42 19 43 56.4 +26 44 56   88   5   86  8   86  8
205.43 -3.75 06 24 18.8 +04 57 01  371  13   60 10   61 11   57.0  6.3
205.81 +4.91 06 56 01.0 +08 34 07  503  26   26  8   26  8   20.1  4.2
205.92 +3.39 06 50 45.9 +07 47 09  357   9   26 15   26 16   -6.8  5.7
207.14 -1.33 06 36 05.7 +04 32 40 1001  54   59  7   59  7   50.2  1.5
207.37 +3.62 06 54 12.7 +06 35 39  111   7  109  7  110  8
207.52 +3.25 06 53 09.1 +06 18 10  589  35  128  7  128  7  107.2  2.9
207.82 -4.39 06 26 28.0 +02 31 51  480  21  -17  9  -17  9   -0.4  4.5
207.97 +2.14 06 50 00.7 +05 23 59   92   8  153  5  153  6  156.2 12.0
209.15 -2.62 06 35 10.2 +02 10 09  144   8  112  7  111  8  124.5  7.7
209.25 -4.63 06 28 12.6 +01 09 26  962  30   34 12   35 12   38.9  3.3
209.31 +4.81 07 02 01.7 +05 24 24  157   4   92 14   94 15   28.2 12.4
209.50 +1.10 06 49 04.6 +03 33 51  113  10  -45  5  -45  5  -58.1  8.1
209.59 +2.38 06 53 49.9 +04 03 47  358  14   42 10   42 10   39.6  7.0
210.12 -2.62 06 36 56.6 +01 18 22  419  32   99  5   99  5  158.3  8.1
210.16 -4.08 06 31 51.5 +00 36 14  299   7    7 15    6 16   17.2 10.1
210.51 +1.11 06 50 59.7 +02 39 56   93   9   58  5   58  6   58.5 15.3
211.12 -1.56 06 42 32.0 +00 54 18   99   9  179  5  180  6  158.5 10.7
211.18 +0.85 06 51 16.2 +01 56 51  209  10   81  9   81  9   62.2 11.8
211.26 +2.41 06 56 57.7 +02 35 34  173  10   73  7   74  8   60.1  7.5
